# SILICON-VALIDATED ring-pad-output fix (2026-07-04). The pad's inbound RMUX source-selection hop
# lives at the N-1 config tile and was never emitted by bitgen (the "implicit pad-feed hop"); plus the
# additive bitgen leaves stray IOMUX over-enables at N-1 that must be CLEARED. Both are required
# (each alone leaves the pad driven-CONSTANT; together the pad TOGGLES). Isolated by live differential
# transplant of the conducting vendor oracle (vendor_pin18only) onto a clocking open build, byte-level.
# Keyed by (pad_x,pad_y,z,feeder_R). set_cells = SET at N-1; clear_cells = CLEAR at N-1 (byte:mask;...).
# 2026-08-15: src_res/src_x/src_y added. The codeword is SOURCE-DEPENDENT, so
# (pad,z,feeder_R) is not a key: feeder_R=8 into PIN_16 is [0,3] from a loopback
# source and [0,4] from RMUX55@(19,9). Rows with a blank source are legacy and
# match any source; a consumer that knows its source must prefer an exact match.
# 2026-08-15: the source-less feeder_R=8 row for PIN_16 was REMOVED. It carried a
# loopback oracle's [0,3] for a source that cannot be named, never drove a pad, and
# wrote the same CFG_RMUX1 cells at (18,13) as the pad-feed codeword that does --
# a feature-ownership collision at byte 408. The qualified PIN_16 hop now lives in
# padfeed_L48_top.csv with full source coordinates.
pad_x,pad_y,z,feeder_R,ncfg_tile_x,ncfg_tile_y,src_res,src_x,src_y,set_cells,clear_cells,note
18,13,0,28,17,13,RMUX69,18,9,2500:8;2616:8,528:128;992:128;991:64;527:64,"PIN_18=GP8 TOGGLE 253/247; hop=CFG_RMUX3@(17,13)[26,28] (RMUX28<-RMUX69@18,9); clears=IOMUX0{6,34}/IOMUX1{20}/IOMUX2{6}"
19,13,0,0,18,13,,,,,,PIN_16=GP6; source-dependent CFG_RMUX0 hop is stored in padfeed_L48_top.csv
19,13,0,4,18,13,,,,2497:16;2497:32,,"PIN_16=GP6 minimal combinational vendor oracle; hop=CFG_RMUX0@(18,13)[26,27]"
19,13,0,24,18,13,,,,407:1;408:64,,"PIN_16=GP6 minimal PIN_11 combinational oracle; hop=CFG_RMUX3@(18,13)[0,3]"
19,13,0,8,18,13,RMUX55,19,9,,,"PIN_16=GP6 OPEN-FLOW SILICON 422,250 Hz / 405,596 Hz. TERMINAL EXPOSURE ONLY -- set_cells is deliberately EMPTY. routing.py builds _PHYS_PAD_TERM from this table under AGAMEMNON_PHYSICAL_IO and exposes ONLY the feeders listed here, so without a row for feeder 8 the qualified composition has no terminal and the build fails to route. The codeword itself lives in padfeed_L48_top.csv with full source coordinates; writing it here as well is a feature-ownership collision at byte 408/409."
19,13,3,8,18,13,RMUX55,19,9,,,"PIN_13=GP3 SILICON-QUALIFIED TERMINAL EXPOSURE ONLY -- set_cells deliberately EMPTY. RMUX08->IOMUX03 is attested by iomux_term_vendor.csv, the vendor all-33-pad route, the set3 slot-set oracle, and the 2026-08-15 single/pair dual-pull silicon matrix. The feed and CFG_RMUX1[0,4] codeword are the silicon-qualified PIN_16 RMUX55@(19,9)->RMUX08 composition and remain owned by padfeed_L48_top.csv."
18,13,3,16,17,13,RMUX85,18,9,,,"PIN_17=GP7 SILICON-QUALIFIED TERMINAL EXPOSURE ONLY -- set_cells deliberately EMPTY. RMUX16->IOMUX03 and the RMUX85@(18,9)->RMUX16 feed are decoded from the vendor all-33-pad route; CFG_RMUX2[0,4] is owned by padfeed_L48_top.csv and passed the 2026-08-15 single/pair dual-pull silicon matrix."
17,13,3,16,16,13,RMUX85,17,9,,,"PIN_19=GP9 SILICON-QUALIFIED TERMINAL EXPOSURE ONLY -- set_cells deliberately EMPTY. RMUX16->IOMUX03 and the RMUX85@(17,9)->RMUX16 feed are decoded from the vendor all-33-pad route; CFG_RMUX2[0,4] is owned by padfeed_L48_top.csv and passed the 2026-08-15 single/pair dual-pull silicon matrix."
20,13,3,0,19,13,RMUX25,20,9,,,"PIN_12=GP0 PREQUALIFICATION TERMINAL EXPOSURE ONLY -- set_cells deliberately EMPTY. Vendor all-33-pad route decodes RMUX25@(20,9)->RMUX00@(20,13)->IOMUX03; derived CFG_RMUX0[0,4] is owned by padfeed_L48_top.csv. No silicon claim until the single/pair dual-pull matrix passes."
20,13,1,8,19,13,RMUX55,20,9,,,"PIN_10=GP4 PREQUALIFICATION TERMINAL EXPOSURE ONLY -- set_cells deliberately EMPTY. Vendor all-33-pad route decodes RMUX55@(20,9)->RMUX08@(20,13)->IOMUX01; derived CFG_RMUX1[0,4] is owned by padfeed_L48_top.csv. No silicon claim until the single/pair dual-pull matrix passes."
20,13,2,4,19,13,RMUX75,20,9,,,"PIN_11=GP1 PREQUALIFICATION TERMINAL EXPOSURE ONLY -- set_cells deliberately EMPTY. Vendor all-33-pad route decodes RMUX75@(20,9)->RMUX04@(20,13)->IOMUX02; derived CFG_RMUX0[26,28] is owned by padfeed_L48_top.csv. No silicon claim until the single/pair dual-pull matrix passes."
